0.045181,-0.148591,1.662626,0.191889,0.020156,0.019747,0.054049,0.018570,0.027839
0.081341,-0.145211,1.676900,0.192855,0.022354,0.019884,0.063574,0.018235,0.022179
0.115938,-0.145306,1.676273,0.193007,0.024135,0.019881,0.050510,0.018468,0.022216
0.150271,-0.145195,1.678594,0.192970,0.020653,0.019841,0.050096,0.018442,0.022194
0.184622,-0.145477,1.682496,0.192936,0.020461,0.019868,0.050010,0.018464,0.022075
0.219105,-0.141258,1.681300,0.192701,0.020360,0.019853,0.049743,0.018183,0.022084
0.253394,-0.141404,1.680084,0.192899,0.020370,0.019859,0.045878,0.018376,0.022283
0.287834,-0.142697,1.676285,0.192979,0.020332,0.019850,0.031432,0.018388,0.022471
0.322115,-0.145209,1.676061,0.192956,0.020329,0.019862,0.035761,0.018462,0.022548
0.356491,-0.145595,1.676005,0.192926,0.020189,0.019845,0.042567,0.018521,0.022519
0.390670,-0.146276,1.684400,0.193896,0.020157,0.019932,0.051663,0.018268,0.022062
0.425122,-0.146726,1.671379,0.193246,0.015404,0.021143,0.055582,0.017805,0.022453
0.459288,-0.146375,1.679817,0.194003,0.020307,0.019940,0.054575,0.018558,0.026846
0.494645,-0.149700,1.670852,0.192682,0.020283,0.019853,0.054634,0.018883,0.029254
0.529230,-0.148177,1.676089,0.193038,0.020360,0.019879,0.075389,0.018680,0.023638
0.563568,-0.146304,1.676662,0.192809,0.020343,0.019874,0.073220,0.018536,0.022303
0.598084,-0.145700,1.676566,0.193115,0.023583,0.019879,0.064623,0.018481,0.022232
0.632523,-0.145520,1.677546,0.192909,0.024711,0.019864,0.054202,0.018466,0.022249
0.666834,-0.145415,1.677685,0.193002,0.021210,0.019868,0.052270,0.018497,0.022198
0.701139,-0.145430,1.674057,0.192368,0.020473,0.019860,0.053161,0.018458,0.022097
0.735443,-0.141898,1.682779,0.192836,0.020340,0.019851,0.053131,0.018452,0.022127
0.769767,-0.141453,1.680700,0.192955,0.020331,0.019867,0.052789,0.018334,0.022265
0.804050,-0.142611,1.676714,0.193113,0.020340,0.019849,0.035520,0.018410,0.022405
0.838636,-0.146580,1.676358,0.192071,0.015302,0.021152,0.037922,0.017291,0.021797
0.872915,-0.147098,1.666612,0.192529,0.016298,0.020711,0.042981,0.018547,0.022591
0.906998,-0.146696,1.684704,0.193828,0.020141,0.019934,0.050582,0.018635,0.022604
0.941083,-0.146538,1.684395,0.193641,0.020145,0.019940,0.053323,0.018573,0.022624
0.975142,-0.146780,1.683317,0.194135,0.020201,0.019949,0.054477,0.018558,0.022632
1.009264,-0.146658,1.680098,0.193953,0.020289,0.019931,0.054504,0.018334,0.026884
1.043337,-0.148201,1.678918,0.193967,0.020364,0.019946,0.054838,0.018576,0.031861
1.077389,-0.150839,1.680767,0.194165,0.020394,0.019947,0.054252,0.018853,0.031293
1.111447,-0.150671,1.681872,0.194129,0.020467,0.019943,0.056285,0.018835,0.028955
